"id","questionText","isOriginalQuestion","languageId","questionId","createdAt","updatedAt"
"7dcdf929-2450-40c1-91df-ee4f87360310","Pour le mariage, comment choisissiez-vous/choisit-on votre partenaire ?",true,a016b260-36f6-4535-b20b-ea7af618ffc3,adf3efcf-3d18-4676-8193-6db5e083c5ad,2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
e2874d3f-bc6d-4acb-9a3a-fe8243fd931a,"For the wedding, how did you/they choose your partner ?",false,"6f458c4d-df13-4235-b3c2-1d9fc9df7e34",adf3efcf-3d18-4676-8193-6db5e083c5ad,2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
d4578131-f965-4599-9400-bfc6d88d57f6,"Para la boda, ¿cómo eligieron a su pareja?",false,"2d585863-97ad-4543-86cf-d83bcc67e635",adf3efcf-3d18-4676-8193-6db5e083c5ad,2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
"1a0b8059-420b-4638-9dc9-b7ab7db77307","Comment sont les habits utilisés avant, après et pendant le mariage ?",true,a016b260-36f6-4535-b20b-ea7af618ffc3,"7ed380ab-12bd-4185-8b4a-e7254bab5e10",2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
"1fa80447-64b3-43aa-91e0-7bba04ae74f2","How are the clothes used before, after and during the wedding ?",false,"6f458c4d-df13-4235-b3c2-1d9fc9df7e34","7ed380ab-12bd-4185-8b4a-e7254bab5e10",2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
"67a9c091-eeef-4a94-8359-3fc91cfda391","¿Cómo se utiliza la ropa antes, después y durante la boda?",false,"2d585863-97ad-4543-86cf-d83bcc67e635","7ed380ab-12bd-4185-8b4a-e7254bab5e10",2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
d274ec30-8f30-4f51-a6f6-224a29eddf08,Comment se déroule la ou les cérémonies du mariage ?,true,a016b260-36f6-4535-b20b-ea7af618ffc3,b275c684-6970-4ed3-bb22-d22ef3d9c59a,2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
"1b3e80ba-c79f-4422-a43e-ca54b1bab373",How does the wedding ceremony or ceremonies take place ?,false,"6f458c4d-df13-4235-b3c2-1d9fc9df7e34",b275c684-6970-4ed3-bb22-d22ef3d9c59a,2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
"3cad4a4c-1a6b-43ea-be26-5a0b2fdbe900",¿Qué ocurre en la(s) ceremonia(s) nupcial(es)?,false,"2d585863-97ad-4543-86cf-d83bcc67e635",b275c684-6970-4ed3-bb22-d22ef3d9c59a,2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
"5323ea8e-1647-49d7-95ac-7ebdd686ac40","Qui légitime le mariage, comment et par quelle autorité ?",true,a016b260-36f6-4535-b20b-ea7af618ffc3,"07bb5ed0-e638-4258-819d-973686881a39",2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
"53700327-509b-41b0-97da-028174818acb","Who legitimizes marriage, how and by what authority ?",false,"6f458c4d-df13-4235-b3c2-1d9fc9df7e34","07bb5ed0-e638-4258-819d-973686881a39",2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
"9faad993-6c57-4121-9907-ceae6e567959","¿Quién legitima el matrimonio, cómo y con qué autoridad?",false,"2d585863-97ad-4543-86cf-d83bcc67e635","07bb5ed0-e638-4258-819d-973686881a39",2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
"576b14b0-494e-4e4c-aa24-68eed6fdf5d4",Qu'avez-vous à dire sur ce thème ?,true,a016b260-36f6-4535-b20b-ea7af618ffc3,"8cce9cea-808f-487c-a24e-1dcf03985f44",2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
"117acf58-8b99-473a-9eb9-befaab95c8d0",What do you have to say about this topic ?,false,"6f458c4d-df13-4235-b3c2-1d9fc9df7e34","8cce9cea-808f-487c-a24e-1dcf03985f44",2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
d6f94499-fe47-4959-b01d-9a9325232428,¿Qué tiene que decir sobre este tema?,false,"2d585863-97ad-4543-86cf-d83bcc67e635","8cce9cea-808f-487c-a24e-1dcf03985f44",2023-03-24 18:03:29.371,2023-03-24 18:03:29.371
c7afbad9-12a8-44e1-8e10-167af3647d01,"Comment faisiez-vous avant, pour fabriquer des tissus/fils, qui servaient ensuite à faire les habits ?",true,a016b260-36f6-4535-b20b-ea7af618ffc3,ebb2c446-395f-478e-8276-cf9bd8736504,2023-03-24 18:03:29.932,2023-03-24 18:03:29.932
"9f7cfa1d-7b45-4ffc-9cb1-d8e0dd5d1a21","Comment faisiez-vous avant, pour fabriquer vos habits ?",true,a016b260-36f6-4535-b20b-ea7af618ffc3,"6053e34b-204b-4cbc-be67-7d6bf468c594",2023-03-24 18:03:29.932,2023-03-24 18:03:29.932
"603e5e93-52a4-49ef-b8c3-f62d0ab56262","Comment faisiez-vous avant, pour teindre vos tissus/habits avant d'acheter des teintures ?",true,a016b260-36f6-4535-b20b-ea7af618ffc3,b09e1c34-5179-4ad4-812a-64f19acf04ba,2023-03-24 18:03:29.932,2023-03-24 18:03:29.932
"1e4f490b-6ce1-4f01-b257-3cdcccf865bc","Comment faisiez-vous avant, pour décider le style, la forme et les illustrations de vos habits ?",true,a016b260-36f6-4535-b20b-ea7af618ffc3,"2a2c46f6-716a-4277-90e0-aaf19b6edd2f",2023-03-24 18:03:29.932,2023-03-24 18:03:29.932
"8b4fcc31-adcb-4124-a0a4-4433d2a21a33",Qu'est-ce qu'on entend ou entendait par costume traditionnel ?,true,a016b260-36f6-4535-b20b-ea7af618ffc3,"1042f7a3-ae18-4ff3-bef1-bf27ece76b6e",2023-03-24 18:03:29.932,2023-03-24 18:03:29.932
a51ef518-b9db-4276-9543-db0dd7d1f0e8,"Comment faisiez-vous pour trouver/fabriquer les matériaux-substances-éléments que vous utilisez pour faire le toit, le sol, les murs de votre bâtiment communautaire ?",true,a016b260-36f6-4535-b20b-ea7af618ffc3,"98876855-5737-4e81-a74c-c15b9e3b3a92",2023-03-24 18:03:30.327,2023-03-24 18:03:30.327
"176c5ce3-a930-41f3-a1de-c41e46624785","Comment et dans quel ordre utilisiez-vous les matériaux-substances-éléments pour faire le toit, de sol, les murs de votre bâtiment communautaire ?",true,a016b260-36f6-4535-b20b-ea7af618ffc3,fbf4ddcb-3278-49e3-968a-6fff4263f130,2023-03-24 18:03:30.327,2023-03-24 18:03:30.327
e1cfd4e3-37f1-413c-ae75-2fbd37c52c46,"D'où venaient la forme, la taille, le style d'architecture de votre bâtiment communautaire ?",true,a016b260-36f6-4535-b20b-ea7af618ffc3,"4eefe735-93d2-46ed-93ad-660b3dc286fb",2023-03-24 18:03:30.327,2023-03-24 18:03:30.327
"16e60ae6-c998-4086-878a-baec83e9b4a0","Avant, quels objets et autres spécificités différenciaient ce bâtiment communautaire des bâtiments où vous viviez ?",true,a016b260-36f6-4535-b20b-ea7af618ffc3,ce9d2562-1bf9-4944-adaa-f3860f7d6223,2023-03-24 18:03:30.327,2023-03-24 18:03:30.327
a7e0a0f2-59ad-4ee7-8161-bdba6f9c64bb,"Construire des bâtiments communautaires en utilisant des méthodes, des outils ou des équipements anciens",true,a016b260-36f6-4535-b20b-ea7af618ffc3,"026120a2-063a-40f3-94b3-53a1a88ae708",2023-03-24 18:03:30.327,2023-03-24 18:03:30.327
"289b521d-4811-48c6-9590-1df4d14acffb",Quels étaient vos anciens moyens de transport et de quoi étaient-ils faits ?,true,a016b260-36f6-4535-b20b-ea7af618ffc3,"211a5198-12e3-416c-ac3c-c71027c2793d",2023-03-24 18:03:30.769,2023-03-24 18:03:30.769
"698def38-9297-4cc0-b595-23dc5374696b",Pour quelles occasions les utilisez-vous ?,true,a016b260-36f6-4535-b20b-ea7af618ffc3,"3c2b2f43-4abf-4f59-a347-8336f479b653",2023-03-24 18:03:30.769,2023-03-24 18:03:30.769
